1552 por	1556 SPA	0.3	sentences_1552
16. † Dissemos [15] tamben, que abastaria sem algũ numero decrarar sufficientenente seu estado: como se he molher pubrica, que por espaço de dex annos perseverou naquelle peccado de fornicação: tam aparelhada pera clerigos, religioso, & casados, como pera solteiros: & despois de convertida se confessasse & disesse, que tanto tempo perseverou no proposito sobredito, como despois de Caietano (h : q. 3 de cons. tell per quo pondero esse text. singularem, i d. c. Consideret ibi quandum perseveraverit & deffleat quod perseveranter peccavit) nos ho concluymos em outra parte (h : in d. c. consideret), ponderando a hiho texto pera isto singular. Acrecentamos, que aquelle que deixou por espaço de hũ anno de rezar, compriria com dizer: Deixey de rezar hum anno.	Acerca delo qual alibi (i : f. in c. Consideret. nu. 41) diximos primeramente, que no basta dezir, peque muchas vezes en este pecado, porque esta diction (muchas vezes) tanto se verifica en diez, y aun en dos, como en ciento (k : glo. I. c. Monasteria. de vit. & honesta. cler. Gregorios I pri. Clemen. Saepe de verb. sign), aunque el Arcidiano (l. c. Imitare 6 q. I & in princi. d. c. Consideret), tuuo quasi, a quien no quiso reprovar Ange. (m : verb. Confessio. I. § 23) empero reprovou lo, y con razon un Cardenal (n : Alexandrinus in di. c. Imitare).	1.56373	sentences_1552
<p>	<p>		sentences_1552
17. Dissemos que se acrecenta ho numero dos peccados, todalas vezes que ho peccado, ou a vontade de peccar interpolada se itera, segundo Joam Andr (i : in regu. Delictum. col. pen. de regul. iur. ii. 6 in mercuriali):	23 Lo II† [14] que alli diximos es, que el pecador deve exprimir el numero cierto, si lo sabe, dizendo, esto hize tantas vezes, y si no sabe el numero cierto, ha de echar cuenta, quantas vezes el dia, o semana, o al mes (poco mas, o menos) peco, y dezir el numero cierto mas verisimil.	1.24	sentences_1552
o qual nam ha lugar, quando a mesma obra exterior não se interrompe: como acontece quando algum vay a matar a outro, & caminhando todo ho dia:	Ca pecaria mortalmente, el que por verguença, o hypocrisia callasse algo del numero delas vezes, que se acuerda, y aun si por su lata culpa dexa de acordarse, por no aver pensado enello nada, podiendo lo hazer, y aun la confession no le valdria nada.	0.343103	sentences_1552
ora cuydando nisso, ora naquillo: porque este não pecca naquillo mais de soo hum peccado, segundo Caietano (k : in lib. 17 respond. respons. 15), a quem aly seguimos (l : in d. c. Consideret pa. 53) & ponderamos hũ texto (m : c. Cum pro causa de senten. exco.) pera isso muy conveniente:	<p>	0.409104	sentences_1552
do qual inferimos, que aquella conclusam f. multiplicarse ho peccado tantas vezes quantas se itera:	24 Lo III† [15] que alli dizimos es, que bastaria sin algun numero declarar bastantemente su estado, como si la muger publica, que por diez años ha estado aparejada para fornicar, assi con clerigos, religiosos, y virgines, como con legos, sueltos, y casados, y despues de convertida se confessasse, y dixesse, que tanto tiempo estuvo dela dicha manera, aparejada para tan torpe cosa, como despues de un Cardenal (a : Caiet. in. q. 3 de confessio) concluimos alibi (b : in d. c. Consideret, ibi quantum perseveraverit & defleat, quod perseveranter pecavit) ponderando ay el testo para esto singular, y añadiendo, que aquien dexo de rezar un año, bastava dezir, Dexe de razar un año.		sentences_1552
se ha de entender, quando ho peccado despois de hũa vez acabado, se itera:	<p>	1.24	sentences_1552
como quando a fornicaçao por obra comprida, se comete outra vez.	25 Lo IIII. [16] † que se augmenta el numero de los pecados, todas las vezes que el pecado, o la voluntad de pecar enterrompida se itera, segun Ioan And (c : in regul. Delictum col. penu. de reg. iuris lib. 6 i mercurial).	0.243914	sentences_1552
		0.253827	sentences_1552
<p>			sentences_1552
18. [16] † Quando porem se itera antes que per obra se acabe, nam se multiplica: posto que (ourãdo a obra exterior) muytas vezes a voluntade interior se renove: nem ainda polo contrairo, se rendo a mesma vontade, a obra exterior se multiplique antes que ho delicto se acabe, como mais compridamente ho provamos aly (n : ubi supra). Donde tambem inferimos, ser soo hum peccado todolos autos exteriores, & interiores que somente sam caminho pera hum soo peccado, posto que sejam interpolados: quaes sam os passos ho aparelhar do cavalo, a lança & outras armas con os defejtos interpolados, & renovandos diversas vezes, falando comendo, & dormindo, do que vay matar a outro daqui a dez legoas.	Lo qual llanamente procede en los pecados interiores, que dentro del alma se consuman, qual es el odio, qual la heregia.	0.181194	sentences_1552
Porque posto que considerados, como caminho, & partes do peccado, que con todos elles se ha de acabar: não fazen mais de hũ:	No empero en os que se consuman de fuera por obra exterior:	0.466277	sentences_1552
como tãben as pedras, colũnas, & traves, & barrotes de hũa casa, que sam muytas cousas cada hũa dellas por si: porem todas ellas consideradas, como partes da casa não fazem de hũa (e : Eum qui f. de viue).	Ca ellos no se dizen iterarse, hasta que no seacabe la obra exterior, o no se interrompa, como acontesce, quando alguno va a matar otro, y caminnado todo el dia, orapiensa enello, ora en al.		sentences_1552
<p>	Ca este no peca en ello mas de un pecado aunque muy mas grave, segun un Cardenal (d : Caiet. in libello 17 respondo 15 resp e in d. princi. nu. 48), que alli (e : ind. princi. nu. 48) seguimos, y ponderamos un testo para ello muy apto.	-0.3	sentences_1552
19. † Nã dissemos [17] porem ociosamente no corollario (quando sã caminho para outra cousa) porque se ouue intervalo, por mudança de proposito, pera não acabar ho peccado:	<p>	0.00546793	sentences_1552
ou por se arrepender delle, ou por outro respeyto: & despois outra vez ho quisesse acabar, sertão dous peccados distinctos.	26 De lo qual inferimos, que no se itera, ni multiplica el pecado, aun que durante la exteriod muchas vezes la voluntad interior se interrompa, y renueve, ni aun por el contrario, si durando la mesma voluntad, la obra exterior se multiplique antes, que el delicto se acabe, como mas largamente lo provamos alli (g : in d. princi. nu. 48), Donde inferimos tambien, ser solo un pecado, todos los actos interiores y exteriores que solamente son camino para un solo pecado, aun que sean enterrompidos, quales son los passos, y el andar, aparejar de cavallo, lança y otras armas, con los desseos enterrompidos, por diversas vezes, hablando, comiendo, y dormiendo, y otras tantas renovados del qual va a matar a otro, de aquí a diez leguas.		sentences_1552
Disto inferimos a rezam, porque quem peccou hũa vez como hũa, não he obrigado confessar as palavras, betjios, abraços, & outros autos, ou preambulos immediatos da obra da quella vez primeira.	Ca aun que considerandos en si, son muchas, y diversas cosas, pero considerandos como amino, y partes del pecado, que contos ellos se ha de acabar, no hazen mas de uno.	0.968931	sentences_1552
E se duas vezes teve parte com ella (ainda que fossem immediatas) obrigato feria a vonfessalas, porque a hũa das duas copulas, nã he caminho, ne preambulo, que se ordena pera a outra.	Como también las piedras, colunas, vigas y otros materiales de una casas, muchas cosas son, cada una dellas por si, pero todas ellas consideradas como partes de la casa, no hazen mas de una (h: Eum qui . ff. de usucapio).	0.317365	sentences_1552
Mas as falas, betjos, & abraços, que a ella precederão si o que todo he muy quotidiano.	<p>	-0.3	sentences_1552
	27 Desto † [17] inferemos la razón porque, quien ha tenido parte con una, no es obligado a confessar las platicas, besos, y otros actos, preámbulos y immediatos della:	-0.3	sentences_1552
	y el que la ha tenido dos vezes (aunque immediatas) es obligado a confessar, que la ovo dos vezes:	-0.3	sentences_1552
<p>	ca la razón es, que la una de las dos copulas no es camino, ni preámbulo, que se ordena a la otra, y las platicas, besos y abraço, si, ala que preceden. Todo lo que es muy quotidiano.	1.25714	sentences_1552
	No diximos empero ociosamente, que son camino, porque si ovo interrompimiento por proponer de no acabar el pecado, o por arrepentirse, o por otro respecto, y después otra vez lo quisiesse acabar, dos pecados distinctos serian.		sentences_1552
	Aun que el dicho Cardenal no aviso esto, que es muy quotidiano.	0.332289	sentences_1552
	Tampoco se dixo sin causa (que solamente son camino para un solo pecado) porque si ellos de suyo son pecados, o se ordenan para ortos pecados, tantos serán ellos, quandos de suyo se son, o quantos los fines malos para que se ordenan:	0.493139	sentences_1552
	como quien va a matar a un hombre, y de camino hurta, roba, perjura, reniega, o ordena su comer, y beber, su andar, y hablar, no solamente para acabar el homicidio concebido, pero aun para adulterar, infamar, y hazer sacrilegios, y aun añadimos, que como este pecado por mucho tiempo continuado es muy mayor, que si fuera momentáneo, assi quien lo cometiere, y quisiere seguir nostro consejo, se dolerá, mas del, y confessara el tiempo, que poco mas, o menos en ello se ocupo.		sentences_1552
<p>	<p>	0.140186	sentences_1552
20. ¶	28 [18] Desto inferimos† la respuesta de la question que el muy reverendo señor, y padre fray Antonio de Zurara, a quien yo mucho devo y qioero por sus muy grandes virtudes, saber, prudencia, y otros muchos respectos, nos pregunto, del que mucho tiempo anda tras una mujer, con illigitos amores, si alcançar effecto, quantos pecados peca?	0.46019	sentences_1552
Ho XV [18] que em hũa soo palavra pode o penitente confessar mil, cento, trinta, & dez peccados mortaes, dizendo: mil vezes perjurey, cem vezes forniquey, trinta propus de matar, dez fiz contra meu voto &c.	Ca dezimos, que peca (almenos) tantos quantas vezes interrompe, y renueva aquella mala voluntad, que concibe sin meter, o querer meter por entonces obra exterior alguna para ello, y tantas vezes quantas interrompe aquella mala voluntad, y mala obra exterior, que para ello por entonces pone.	0.477532	sentences_1552
Porque a esta confissam não lhe falta nada polos dizer todos com tã paucas palavras, pois sam tam craras: como em outra parte (o : in d. c. Consideret n. 110) provamos despois de Caietano (p : Tomo z, d. contritione q. z).	De manera que si anduvo un dia, o una noche o parte dellos dándole músicas, o esperando oportunidad de hablarle, o servirle para este, mal din mientras que esta voluntad y obra exterior no se interrompieron, no abra mas de un pecado, aunque tanto mas grave quanto mas diuturno.		sentences_1552
<p>	Pero si acabada aquella obra exterior, que por entonces quiso hazer, entiende eon otros negocios que no son camino, o preámbulos para ello, y rotna otra vez ala mesma mala voluntad sola, o a la de hazer otra obra exterior semejante, o desemejante dela otra para alcançar su mal fin, hara otro pecado y tiendra tantos que confessar quantos interrompimientos, y renovaciones tales hizo, allende las malas voluntades absolutas, que tuvo sin meter obra exterior, y confessando el numero verisímil dellos, satisfará al piadosissimo señor, cuya misericordia y paciencia es milagrosa en sufruir nos estas muy atrevidas, y desuergonçadas continuaciones de sus ofensas gravissimas podiendo las con un solo ceño assi asperrimantamente casticar, como los castagara si nos castigaremos a nos mesmos antes*.	0.69921	sentences_1552
21. ¶	<p>	-0.0398437	sentences_1552
[19] Ho XVI que a circunstancia do escãdalo, em duo casos se ha de confessar necessariamente, segundo todos, como em outra parte ho dissemos (q : in c. Consideret § Animadvertere n. 5) porque nelles faz algũa das tres cousas sobreditas.	29 ¶	-0.002325	sentences_1552
Lho primeyro he, quando ho escandalo he formal. f. quando algũa cousa se disse, ou fez, com proposito de provocar a outro a peccado mortal:	El XVI que en una palabra puede el penitente confessar mil pecados mortales como diziendo mil vezes blaspheme, mil vezes perjure, mil vezes fornique, mil vezes perpuse de matar, mil vezes hize contra mi voto, o juramento, diez vezes aconseje que alguno perseverasse en pecado mortal, talc osa hize tantas vezes a fin de fornicar & c.	0.488732	sentences_1552
& não somente ha de confessar o que fez ou disse com a dita tençao:	Porque a esta confession no le galta nada, por dezir los todos, con tan pocas palabras pues son tan claras como lo provamos alibi (a : In princ. di Consideret. numero 110) despues de un cardenal (b : Caiet. tom. 2. de contri. q. 2).	1.33498	sentences_1552
mas tambem ha de dizer ho genero do peccado, ao qual o entendia provocar (q : Per dicta supra in c. Praecedenti).	<p>	-0.3	sentences_1552
Lho II quando com sua obra em si boa, ou indifferente, mas maa ao que de fora parece, daa occasião a outro de cayda mortal.	30 ¶	-0.3	sentences_1552
Em o terceyro sam diversos os doctores.	El XVII † [19] que la circunstancia del escandalo, en dos casos se ha de confessar necessariamente, segun todos, como alibi (c. In c. I § Animadvertere n. 5 de poen. d. 5) lo diximos.		sentences_1552
f. quando hũ pecca mortalmente en presença de outros, sem tenção de os trazer a peccar mortalmente, porque Adriano (q : de sacramento confess. q. 4. colu. 4) Mator (r : in 4. d. 38 q. 3) & Silvestre (s : verb. Scandalum. q. 2. §3) senten que si poren S. Thomast sente que não em quãto diz que posto que mais gravemente pecca, o que pecca em publico, que o que em secreto:		-0.3	sentences_1552
Porem isto não passa em peccado de escandalo special:	Porque enellos haze alguna de las tres cosas suso dichas.	-0.3	sentences_1552
ho mesmo tem, Caietanou. (u: in Summa verb. Scandalum).	El primero quando el escandalo es formal, esto es quando alguna cosa se dixo, o hizo, con animo de provocar a otro a pecado mortal, y no solamente ha de confessar lo que dizo, o hizo con la dicha intencion, mas tambien ha de dezir el genero de pecado, al qual entendia provocar (d : per dicta supra in c. praecedenti).	-0.3	sentences_1552
Mas a nos parecenos o que hahi nos pareceo (x : in §animadvertere n. 9). f. que a opentão dos primeyros proceda, quando ho tal peccado se comete port al pessoa, & em presença de taes, que provavel & verisimilmente tomrão nova occasião de peccar & a de sancto Tho. quãdo não se faz port al pessoa, nem em presença de taes, como ally mais nos extendemos.	El segundo quando con obra buena, o indifferente de su casta, y mala en la especie o muestra, da occasion de pecar mortalmente.	-0.3	sentences_1552
<p>	En otro tercero, son diversos los doctores, conviene saber, quando uno peca mortalmente en presencia de otros, sin intencion de los atraher apecar mortalmente.		sentences_1552
22. ¶	Ca Adriano (e : in 4. de consacr. confess. q. 4. co. 4), Mayor (f : In. 4. d. 38. quaest. 3), & Sylvestro (g : verb. Scandalum quaest. 3) sienten que si: Pero S. Tho (2. Sec. q. 43. artic. 3) siente que no, en quanto dize, que puesto que mar gravemente peca el que peca en publico, que el que en secreto:	1.24	sentences_1552
Ho XVII [20] he de notar que aquelle que confessandose, lhe esqueceo a circunstancia necessaria:	pero esto, no lo passa en pecado de escandalo especial.	0.483143	sentences_1552
não he obrigado a confessar outra vez ho peccado ja confessado, porque confesse a circunstancia: mas abasta que confesse somente a circunstancia.	Lo mesmo tiene Caiet (i. In summa verb. Scandaum).	0.296757	sentences_1552
Exemplo jourou hũ de não poer mãos violentas em clerigo, ou não furtar: & despois ferio ou furtou, & confessa, que auta feyto taes cousas, mas esque ceolhe que avia jurado de as não fazer:	A nosotros parece nos lo que alli (k : f. § animadvertere. nume. 9) nos parecio, es a saber que la opinion de los primeros, proceda, quando el tal pecado se comete port al persona, o en presencia de tales, que probable, y verisimilmente tomaran nueva occasion de pecar: y la de S. Tho quando no se haze port al persona ni delante tales: como alli lo extendimos mas.		sentences_1552
não he necessario a este confessar, os peccados ja confessados outre avez, porque confesse a circunstancia do juramento mas abasta que diga que duas ou tres ou quatro out tantas vezes quebrantou os juramentos licitos & sanctos ou diga que fez hũas obras em si, ou por circumstancia maa, contra o que auta jurando, como em outra parte (y : in c. Consideret d. penit. d. 5. n. 104 ca. seq. ) ho provamos mais largamente	<p>	1.24	sentences_1552
<p>	31 ¶	1.62451	sentences_1552
<p>	El XVIII [20] es de notar que el que confessando se, olvido la circunstancia necessaria, no es obligado a confessar otra vez el pecado ya confessado, mas basta que confiesse la circunstancia sola.	-0.3	sentences_1552
<p>	Exemplo, juro uno de no poner manos violentas en clerigo, de no hurtar, no fornicar, no blasphemar, y despues hirio, hurto, fornico, y blasfpemo, y confesso que avia hecho tales cosas, mas oluidose, que avia jurado de no hazerlas:	0.52987	sentences_1552
<p>	no es necesasrio a este conessar los pecados otra vez, para confessar la circunstancia del juramento, mas basta que diga, que dos, tres, quatro, o tantas vezes quebranto juramentos licitos, y sanctos:	1.32973	sentences_1552
<p>	o diga que hizo unas obras en si, o por circunstancias malas, contra lo que avia jurado como alibi (l : In d. c. Consideret. nume. 104) lo provamos mas largamente	0.910149	sentences_1552
<p>	<p>	-0.233824	sentences_1552
<p>	<p>	0.62365	sentences_1552
<p>	<p>	1.8	sentences_1552
	<p>	0.565116	sentences_1552
	<p>	0.268502	sentences_1552
	<p>		sentences_1552
	<p>	1.24	sentences_1552
	<p>	0.885967	sentences_1552
		0.111328	sentences_1552
