azp1556_ch17_0,"<root><div type=""chapter""><p>"
azp1556_ch17_166,"¶ La octaua causa † es, el no poder restituyr sin perder la libertad, y venderse a si mesmo. Ca aunq̃ aunque la ley vieja c Exod. 22. permitia que se vẽdiesse vendiesse el que no pudiesse pagar lo q̃ que hurto, y aun, que el deudor se diesse a si o a sus hijos por deuda ciuil d Leuit. 25. &amp; 4. Reg. 4.: y aun q̃ que lo mismo se podria ago ra ordenar, pero nunca enla policia Romana despues que es Chri stiana, se ordeno ni mando, que alguno por deuda ciuil se hiziesse esclauo, antes esta mandado e l. Ob ęs alie num. &amp; Authẽ Authen. sequen. C. de a ctio. &amp; oblig. c. 2. &amp; ibi glos. de pigno. que ninguno sea compelido a ello. La razon desta octaua escusa parece ser, que la libertad es de otra mas alta ordẽ orden de bienes, y cosa inestimable de su naturaleza f Libertas res inestimabilis ẽ est. ff. de reg. iur.: y por esso la restitucion (que es auto de justicia) no obliga aquien la tie ne, que sea compelido a dar la, por restituyr la hazienda, que es co sa de mas baxa orden, y de su naturaleza estimable. Aunq̃ Aunque no ha ria mal, quien por hazer la restituciō restitucion, se diesse por esclauo al acree dor, o se vendiesse a otro que lo quisiesse comprar: sino ouiesse al guna ley justa, que lo impediesse, qual no ay enla ley de naturale za, ni diuina nueua, ni enel derecho comun Romano: puesto q̃ que (co mo dicho es) aya ley, q̃ que māda manda no sea cōpellido compellido a ello: antes cada dia los Christianos cōpran compran en Ethiopia muchos, que se vẽden venden a si mes mos, o con su consentimiẽto consentimiento. Lo qual ser licito, tābien tambien lo ha escrito el dicho D. Soto g lib. 4. q. 2. ar. 2. de iust. &amp; iur.. De dōde donde se sigue q̃ que la razon desta octaua escusa no es, q̃ que el hōbre hombre libre no es se ñor de su libertad, sino la susodicha."
azp1556_ch17_167,"¶ La. ix. causa † es la de no poder restituyr la haziẽda hazienda sin perder la fama, segun vn doctissimo Cardenal h Caie. lib. 17. respō respon. 14. resp. &amp;. 2. Sec. q. 62. artic. 2.. Diziendo, que como los bienes de la vida, y salud son de mas alta orden, que los de la fa ma: assi los dela fama son de mas alta, q̃ que los dela hazienda: y q̃ que na die es obligado a restituyr los bienes de mas baxa orden, cō con perdi da delos dela mas alta Cōtra Contra esta cōclusi ō conclusion empero tuuierō tuuieron major i In. 4. dist. 15. q. 17., y Adria. k In. 4. de rest.. Y despues el dicho doctor Soto ha reprouado la dicha distinciō distincion y resoluciō resolucion đl del dicho Cardenal, en vna parte l libr. 4. q. 6. arti. 3. de iusti. &amp; iur., y siẽte siente en otra m Ibidẽ Ibidem. q. 7. artic. 2., q̃ que no se hā han de mirar estas ordenes de bienes, antes se ha de co tejar lo q̃ que vale la fama đl del q̃ que es obligado a restituyr, cō con lo q̃ que la deuda: y q̃ que tanto podra exceder el valor dela fama al dela deuda, q̃ que no sera obligado a restituyr: y tā tan poco, q̃ que lo sera. Mueuese a ello. Lo. 1. porq̃ porque la dicha ordẽ orden del dicho Card. parece mas fundada en Metaphisica que en Philosophia moral. Lo segũdo segundo, porq̃ porque aun q̃ que la fama (de suyo) sea de mas valor, q̃ que la hazienda: pero mucha hazienda mas vale, q̃ que la poca fama: como, aunque mas precioso sea (de suyo) el oro q̃ que el plomo a e. Duo sunt 96. dist.: Pero mas vale vn quintal de plomo, q̃ que vn grano de oro. Lo tercero porq̃ porque quien infamo vna illustre casta de tray dora, o he rege: obligado es (a su parecer) a restituyrle su fama, aunq̃ aunque por ello ouiesse de perder la vida: No ostante empero todo esto, mejor nos parece la opinion del dicho Cardenal. Lo vno, porque no se funda tanto en Metaphisica, quāto quanto en buen a Philosophia moral y legal, segũ segun la qual, nadie es obligado a dar su vida, por pagar su deuda: por ser de mas alta orden q̃ que esta, como queda dicho. Lo otro, porq̃ porque la mesma razon (porque no se ha de perder la vida por restituyr la hazienda) concluye tābien tambien, que no se deue perder la fama por re stituyr la hazienda: pues tambiẽ tambien la fama es bien inestimable de su naturaleza, (como claramente lo significa la sagrada escritura b Ecclesia. 41. Curā Curam habe de bono noĩe nomine. hoc em̃ enim magis ꝑma nebit permanebit tibi, quā quam mille thesauri preciosi &amp; ma gni. &amp; Prouer. c. 22. Melius est nomen bonũ bonum, quam diuiti æ mult æ.: y aun la humana de Aristo. c 4. Ethi. vbi ait, honorẽ honorem esse maximũ maximum bono rum exteriorũ exteriorum. que dixo la honrra ser el mejor bien de todos los exteriores: a quien sigue S. Tho. en muchas partes d 2. Se. q. 129. artic. 1. vbi etiā etiam alter Tho. &amp;. q. 131. ar. 1. ad. 2. &amp;. q. 103. ar. 2. &amp;. 1. Se. q. 2. ar. 2. ad. 1., y algunas glossas nr̃as nuestras e c. Suā Suam. de p œ nis. &amp; Extraua. Ad cōditorem conditorem. Ioā Ioan. 22. §. Rur sus. ver. honori de verb. signifi., en otras. Ni obstat dezir, q̃ que quando la fama no se puede restituyr, se deue dar recōp ẽsa recompensa en dinero. Lo vno porq̃ porque aq̃llo aquello no se haze, por ser ella de su naturaleza estimable, sino por que no se puede hazer otra: como tambiẽ tambien por la vida y salud (que son inestimables) quasi lo mesmo se manda f l. 1. §. 1. &amp;. l. fi. ff. de his qui de iecer. &amp;. l. Ex hac. ff. Si qua drup. pau.."
azp1556_ch17_168,"Lo otro † porque no se da aq̃llo aquello por precio dela fama que ninguno tiene, sino para al guna satisfacion del da ño que le viene, por estar priuado della: co mo tambien al mancado se da alguna recompensa, no por precio dela salud (que ninguno tiene) sino por el da ño, q̃ que dello se le sigue g per leges pr æ dictas, &amp; ea qu ę supra. c. 15. nu. 19. citata fue runt.: la aduertencia delo q̃l qual, es muy necessaria eneste lugar. Lo otro, por que el doctissimo. S. doctor h 1. Sec. q. 62. ar. 2. ad. 1. &amp;. 2. de vna mesma manera respōde responde en el caso en q̃ que se quita a vno la vida o miẽbro miembro ( q̃ que no se puede restituyr) y en el caso, en q̃ que se quita la fama, y no se puede restituyr: Ca en en trambos dize, que no se puede dar equiualencia: y en entrābos entrambos di ze, que se ha de hazer recōpensa recompensa: y dōde donde i ĩ in. d. vers. ad. 2 habla dela recōpensaci ō recompensacion de la fama, se remite adōde adonde habla k Ad predictũ predictum versic. Ad. 1. dela recōpensa recompensa de la vida o miẽ bro miembro cortado: diziendo, que en lo de la fama, se ha de hazer lo mes mo, que dexo dicho enlo dela vida quitada, y miẽbro miembro cortado: por lo qual claramente significa, que la fama no tiene precio, ni lo que se da por recompensa, se da mas por paga, que lo que se da por vi da quitada, o miembro cortado: y que de otra mas alta or den son los bienes de la fama, que los de la hazienda: y que no se puede cotejar el valor pecuniario de lo vno, con el pecuniario del otro, que no lo tiene. Lo otro, porque la libertad, fama y honrra parecen ser de vna mesma orden: y como queda dicho, ninguno es obligado a venderse, por pagar haziẽda hazienda deuida: y la razō razon dello, consiste enla distinction del dicho Cardenal: Luego ella es verda dera, y tambien nuestra conclusion. Lo otro, porque vna muger tenida por virtuosa, mas deue querer ser esclaua bien affamada, q̃ que libre diffamada a l. Isti quidẽ quidem §. final. ff. quod metus causa.: y pues no es obligada a se hazer esclaua por re stituyr la hazienda, menos le sera a pagar la hazienda, quando por ello ha de ser tenida por mala. Lo otro, porque la restitucion (co mo queda dicho b Supra eod. c. numero. 6. ) es auto de justicia comutatiua, por el qual se pone ygualdad entre el que toma, y el de quien se toma: y no se ria ygualdad (antes gran desygualdad) dexar la hazienda, y la fa ma, por sola la hazienda, Lo otro, porq̃ porque Innocẽ Innocen. 3. c In ca. officij. de p œniten. &amp; remiss. claramẽte claramente dize, que el temor đ de dezir su adulterio al marido escusa ala muger dela restituciō restitucion dela herẽcia herencia, sin distinguir entre herẽcia herencia grāde grande ni peque ña, ni entre fama de grāde grande, ni de peque ño. Ni nũca nunca S. Tho. ni otro doctor alguno clasico hizo estas distinctiones, mal fundadas en derecho d Ergo nec nos distinguamus. l. de pretio. ff. de public. c. So lit æ. de maior.: a nr̃ nuestro parecer. Lo otro, porq̃ porque no se puede dezir q̃ que Innoc. 3. e in. d. c. Offi cij.. no sintio claramẽte claramente, q̃ que el temor de perder los bienes de mas alta orden escusa de la obligacion de restituyr los dela mas baxa: porq̃ porque claramente dize que el temor de descubrir su adulterio, escusa a la muger de restituyr la herencia, que el hijo putatiuo lleuara: y co mo el texto hable del temor generalmente, y ansi se aya de enten der de qualquier justo, y el temor de la infamia sea tal f l. Isti quidẽ quidem cum gloss. ff. qđ quod met. caus.: en ten der se ha tambien del dela infamia."
azp1556_ch17_169,"Lo otro, † porque muy du ra, y nueua cosa parece lo que el dicho doctor Soto (sin author al guno) dize, que quien diffamo a vna illustre generacion, es obli gado a la restitucion de su fama con perdida de la vida. Lo otro, porque la semejan ça del oro y plomo no concluye: Ca el vno y el otro, de su naturaleza son estimables a dinero: y por esso lo mucho de lo vno puede valer mas, que lo poco del otro: la fama empero no es cosa estimable a dinero, como tampoco lo son la vi da, salud, y libertad. Lo otro, porq̃ porque muy pocas vezes acontescera ca so, en que no se pueda restituyr la hazienda tarde o temprano, sin da ño dela fama mas apto que el, de que habla el dicho Innocen. 3. de la muger, que fingio estar pre ñada, y parir hijo ageno por proprio, o que pario proprio de adulterio oculto. Enel qual empe ro siente, que si teme, no deue dezir lo a su marido. Y esta claro, que lo podria dezir sin temor de perder la vida, recogiendo se an tes en vn monasterio seguro, pues la yglesia no la mandaria re stituyr a su marido sin caucion bastante a c. Literas sub finem. de resti. spolia.. Finalmente haze, que si la contraria opinion fuesse verdadera, seguiria se, que ninguna differencia auria entre la deuda de la fama y de la del dinero, pues (segun ella) en entrambos el da ño grande del que ha de restituyr escusa, y en ninguno el peque ño, y en entrambos se halla grande y peque ño valor: siguiriase tambien, q̃ que siempre se podria restituyr la fama, por cosa equiualente, que es contra lo que siente S. Thom. b 2. Sec. q. 62. ar. 2. Ad. 2. comunmente recebido. Concluymos porende, que la restitucion dela deuda de hazienda se ha de procurar por todas las vias possi bles: pero sino se hallare alguna q̃ que para ello baste, sin perder la vi da, o la libertad, o la fama, no es necessario hazerla. Limitamos em pero la opinion del dicho Cardenal, que solamente aya lugar en la fama, que vno tiene de virtud y bondad moral: y no en la fama, que vno tiene de otros valores: quales son el del ingenio, saber, fuer ças, ma ñas, artes, riquezas, y otras cosas semejantes. En la qual sal uamos la opiniō opinion contraria: porque la fama destas no parece inesti mable, qual ser la dela bondad significa la sagrada escriptura c Ecclesiastic. 41. &amp; Prouerb. 22., co mo queda dicho d Supra eod. cap. nu. 89.: y como aya estas dos especies de fama, y infa mia en q̃ que ha lugar la detracion diremos, y prouaremos abaxo e ca. 18. n. 20.."
azp1556_ch17_170,"¶ Dela restitucion delos bienes inciertos. SVMARIO. Bienes inciertos quales son. numero. 92. Y si se pueden aplicar al tenedor pobre. numero. 93. Restitucion de bienes inciertos, aquien se haze. nu. 92. &amp;. 93. Obispos, como reseruan la absolucion del que tiene bienes incier tos. numero. 92."
azp1556_ch17_171,"BIenes † inciertos (que se han de restituyr) son los que no se pueden retener justamente, y no se sabe quan tos son, o a quien se han de restituyr hecha la deui da diligencia, segun la mente comũ comun de los doctores, que alibi largamẽte largamente explicamos f In. ca. Cũ Cum sit. de Iud æis.. Aun que la glo. g c. 2. de p œn. &amp; remiss. lib. 62. a astos estos solos postreros llama inciertos. Y este no saber acontece, o por no conocerse, o por ser muerto quien los auia de auer. Y no co nocer se sus herederos, aun despues de puesta la diligencia deuida segun S. Tho. recebido a 2. Sec. q. 62. art. 5.. La restituciō restitucion de los quales se ha de hazer a pobres b c. Cũ Cum tu. de vsur.. Y aun muchos tienen, que es reseruada a los obispos, y no se deue hazer, sino por ellos c Host. in. d. c. Cũ Cum tu. &amp;. in. d. c. Cũ Cum sit. &amp; in sũ ma summa. de p œ. §. fi.. Pero la Comun tiene lo cōtrario contrario, cuya verdad largamente prouamos alibi d s. in. cōm ẽto commento. d. c. Cum sit., donde concluymos, q̃ que el obligado a restituyr puede restituyr, por si solo sin obispo, y aun sin confessor: y aun, que el obispo no puede mandar lo contrario, ni comunmẽte comunmente entremeterse enello cōtra contra la voluntad del deudor, sino en. 4. casos. El primero, quādo quando el que auia de restituyr, murio, y no dexo heredero, ni executor de su testamẽto testamento. El segundo, quā do quando el que ha de restituyr, no quiere, y se procede contra el en juy zio. El tercero, quando el que restituye, no distribuye biẽ bien, ni como es obligado. El quarto, quando las tales cosas inciertas son possey das por el que es, o fue vsurero manifiesto e Ange. verbo. Restit. 2. §. 14. Rosel. eod. §. 2. Pisa. rest. 6. Syl. eod. 8. q. 5. Ga briel. 4. d. 15. q. 2. col. 18.. Ni aun la costumbre contraria a esto valdria, o por ser contra ley natural, o porque los obispos comunmente no curan mucho delos pobres, segun Syl. f in eod. verb. in. d. q. 5. Aunque la costumbre de los obispos, que reseruan la restitucion destos bienes a si mesmos (de que hizo menciō mencion vna glo. g c. 2. de p œn. lib. 6. ) se pue de defender, entendiendo dela absolucion del pecado hecho en no los auer restituydo, y de la restitucion, y disposicion de los confes sores: Esto es, vedar a los confessores, que no absueluan, ni que distribuy ā distribuyan, sin el parecer del obispo. Mas no vedar, que la parte por si (si quisiere) no restituya, ni descargue su cōsciencia consciencia, como es obli gado Y por este nueuo corte se pueden todos concertar, y saluar las constituciones synodales de muchos obispados."
azp1556_ch17_172,"¶ A ñadimos, † tambien, que por todos los respectos, porque el cō fessor confessor puede absoluer al q̃ que deue cosas ciertas, sin q̃ que restituya luego, o hasta cierto tiẽpo tiempo, por mas fuerte razon podra al q̃ que deue incier tas. Y si el que ha de restituyr es pobre, puede tomar todo, o algu na parte dello, mayormente con el parecer del obispo, o del confes sor para si, como vno delos pobres, por lo que h Infra eod. c. nu. 181. abaxo diremos. Ni ay necessidad de ponerle mas cargo de oraciones, ni buenas obras por las almas delos, aquien se auian de restituyr, que seria ne cessario de poner a otros pobres. Porque no ay texto, ni razō razon, que lo prueue, aunque quede obligado a las que otros quedarian i ar. l. Illud. ff. ad. l. Aqui. &amp;. c. Inter. c æteros. de. rescr.."
azp1556_ch17_173,"¶ Dezimos tambien, que seria cosa cōueni ẽte conueniente, que escogiessen los mas pobres, y destos ( siẽdo siendo yguales) los mejores k c. Est probā da probanda. &amp;. c. Non sa tis. 86. d.: aun q̃ que no es ne cessario, porq̃ porque no ay texto ni razon, q̃ que lo concluya. Por pobres en tendemos no solamẽte solamente hōbres hombres, y mugeres, pero tābien tambien las yglesias, y hospitales, y monesterios: que tienen necessidad de ornamentos, luminarias, o edificios. &amp;c. segun Ioan. Andr. a in. cap. 2. de testa. lib. 6. comunmẽte comunmente recebi do, o otras obras pias. Porque los bienes ecclesiasticos tā tan deuidos son a los pobres, como estos bienes inciertos b c. Aurũ Aurum. 22. q. 3. &amp;. c. fi. 16. qu æst. 1.. Y esta cierto que los ecclesiasticos se pueden gastar en otras obras pias, que quier q̃ que diga Pedro de Perusio c In tracta. de cano. port. epis. cap. 7.. Cuya opinion podria proceder enlas mā das mandas hechas a los pobres."
azp1556_ch17_174,¶ Delos fructos de los beneficios mal gastados. SVMARIO. Beneficiados quales fructos restituyran. numero. 94.
azp1556_ch17_175,"LA † opinion Comun, de q̃ que los beneficiados, que gastā gastan los fructos de sus beneficios con mancebas, o otros vanos o malos vsos, o en enrriquecer pariẽtes parientes, y los q̃ que los reciben, son obligados a restituyr, se ha de enten der, excepto lo q̃ que gasta de la parte de la renta, para su decente sustentacion necessaria. Como si vno puede virtuosa, y de centemente gastar mil ducados en su comer, vestir, y familia, y tie ne de rẽta renta dos mil, y gasta mil en buenos vsos, y. 200. en superfluos vanos, o malos, sera obligado a restituyr. 200. y no mas. Y si limita los buenos tanto, que no gasto mas de. 800. enellos, no sera obliga do a restituyr nada de los. 200. que gasto en malos, o vanos. Y si los limita en. 100. que no gasta sino. 900. sera obligado a restituyr. 100. como largamente alibi lo prouamos d s. in. 5. nota. c. Cũ Cum secũdum secundum. de pr æbend., tocando en particular mu chas, y grandes dudas desta materia."
azp1556_ch17_176,"¶ Dela restitucion de lo ganado en juegos, dira se despues e in. c. 19.. Y tam bien dela fama, y deshonrra f in cap. 18.."
azp1556_ch17_177,"¶ Preguntas deste. 7. Mandamiento, que nacen destos presupuestos. SVMARIO. Mandamiẽto Mandamiento septimo de no hurtar, como quebranta, y peca. M. el hōbre hombre, si toma lo ageno, o lo suyo, pẽsando pensando ser ageno, o si toma lo suyo, en que otro tenia derecho. n. 94. si toma algo por fuer ça. nu. 95. Si cosa sagrada. Si por hazer lo que deuia, o lo que no de uia. nu. 95. Si cōpra compra para otro y dize, que cuesta mas, o reparte mal cosas comunes. Si da beneficio, o officio al indigno. nu. 96. Si impide a alguno algun bien. Si da causa de pena injusta. nu mero. 97. Si toma de lo perdido en la mar. nu. 98. Y si escusa la ignorancia. nu. 99. Si pone fuego. nume. 100. Si injustamen te suelta preso. nume. 101. Por deuda. numero. 102. Si ayuda a huyr. Si siendo esclauo huye. nu. 103. Aunque sea Christiano en tierra de Moros. numero. 104. Si recibe de quien no podia dar. nume. 105. Si recibe por contracto cosa agena. nu. 106. Si finge ser deuoto, pobre, &amp;c. Si no paga al jornalero luego, o paga en lo que no deue. num. 107. O al criado : y que si el amo es official mecanico, o estudiante. num. 108. &amp;. 109. Y que si era se ñor. nu. 110. &amp;. 111. Si se entrega ocultamente dela deuda. nume. 112. Sin tales condiciones. a nume. 113. vs vsque ad. 117. Si no paga las mandas. nu. 117. Si toma con nece ßidad. n. 118. Que si era extrema. num. 119. Si jura de guardar la ca ça. &amp;c. nu. 122. Que lo escusa. nume. 133. Si siendo guarda, se escon de &amp;c. nume. 114. Si veda hazer mal a fieros animales, o sus perros da ñan. n. 125. Si tiene palomar sino cō con. &amp;c. n. 126. &amp;. 127. Si encierra animales agenos, para se aprouechar. numero. 128. O aue jas. numero. 129. Sacrilego quien, y si es descomulgado. numero. 95. Official, que toma, o reparte mal. numero. 95. &amp;. 96. Perlado, o se ñor que da beneficio, o officio &amp;c, numero. 96. Naufragio cosa perdida en la mar. numero. 98. Incendiario, quando es descomulgado. 100. Preso quien suelta, o ayuda. numero. 101. 102. &amp;. 103. Esclauo, que huye. numero. 103. Donar quien no puede. numero. 105. &amp;. 106. Pobre fingido. numero. 107. Iornalero mal pagado. numero. 107. Criados mal pagados. numero. 108. vs vsque ad. 112. Descomunion no liga al que en oculto se entrega. numer. 114. Acreedor que cobra ocultamente. a numero. 112. vs vsque ad. 117. Deuda legal, y no de agradecimiento justifica la entrega oculta. numero. 114. Manda mal pagada. numero. 117. Nece ßidad extrema, y no extrema escusa. n. 118. &amp;. 119. Ca ça, y pesca vedadas, y su restitucion. n. 120. &amp;. 125. Restituyr mandan se ñores, sin prouecho. nu. 121. Guarda de ca ças, y pescas, quiẽ quien jura. &amp;c. nu. 122. 123. &amp;. 124. Palomar quando es licito. nu. 126. 127. Animales agenos herir. nu. 120. o encerrar. n. 128."
azp1556_ch17_178,"SI contrato, o tomo, o quiso contratar, o tomar fraudu losamente alguna cosa agena, contra la volũtad voluntad de su due ño, para ganar la propriedad, possession, o vso de lla. M. a Per pr ædi cta ĩ in. 1. pr ęlud. Y obliga a restitucion la obra, aunque no la voluntad sola della b Per dicta ĩ in 2. pr ælud.."
azp1556_ch17_179,"¶ Si tomo su propria cosa pensando, que era agena. M. aunque quanto al fuero exterior, no incurre en pena, si dello a nadie viene da ño c Arg. l. Inter. §. Penulti. ff. de furtis., ni quanto al de Dios obliga a restitu cion."
azp1556_ch17_180,"¶ Si † contrato cosa propria, en que otro tenia algun derecho contra su voluntad: como prenda, que tenia dada al acreedor, o ca uallo que alquilo, o presto d §. Aliquan do. Institu. de obliga. qu æ ex delict.. Porque quanto al derecho, que el o tro enella tiene, no es suya, sino agena."
azp1556_ch17_181,"¶ Si tomo, o quiso delibera damente tomar algo por fuer ça. M. y peor que simple hurto e ca. P œnale. 14. q. 5. (que se llama rapina) y es de otra especie f Tho. 2. Sec. q. 66. ar. 9., y por esto contiene circunstā cia circunstancia, que de necessidad se deue confessar, por lo arriba dicho g Supra. ca. 6. nu. 3.. Y de mas de la restitucion de la cosa tomada, ha de satisfazer por la in juria, que hizo al for çado, como los otros, que sin tomar nada inju rian, segun la mente de S. Thomas h 2. Sec. q. 66. artic. 9., y los otros."
azp1556_ch17_182,"¶ Si hurto cosa sa grada de lugar sagrado, o no sagrado: o cosa no sagrada de lugar sagrado. M. y peor hurto que el simple, o de otra specie, porque es sacrilegio i c. Quisquis. 17. q. 4.. Y si lo hizo con quebrantamiento de puerta, ventana, cerradura, tejado, o pared, es descomulgado k c. Conque sti. de sentẽ senten. exc ō excom. de quo in fra. c. 27. n. 97.: aunque no por solo quebrantar, sino se siguio el hurto: ni por solo hurtar sin el que brantamiento, puesto que sea gran pecado, y por la injuria, que hi zo enel vn caso y enel otro, deua ser castigado, como despues de Panormitano, Felino, y la Comun, lo diximos alibi a in. d. c. Con questi. A lo qual es consiguiente lo que dizen los Parisienses b in. 4. dist. 15, que quien quebrantā do quebrantando el sacrario, hurtasse el sancto sacramento, seria descomulgado. Lugar sagrado, quāto quanto a esto, se dize qualquier iglesia, hospital, her mita edificada con licencia del Papa, o del Obispo c Cōstitutus Constitutus. de relig. domi bus., o cementerio por ellos bendito d c. 1. de con secr. eccle.."
azp1556_ch17_183,"¶ Si recibio alguna cosa notable por hazer, o dexar de hazer lo a que su officio lo obligaua, como por dar justa sentencia (siendo juez) o dezir verdad (siendo testigo) o por acu sar (siendo a ello obligado) o desistir de la injusta acusacion. M. e c. Non sane. 14. q. 5. c. Mili tare. 23. q. 1. con obligacion necessaria de restituyr lo que tomo al que le dio, como arriba diximos f Supra. eo. c. n. 37.. Y aunque mas peco, si lo tomo por hazer lo que no deuia, o dexar de hazer lo que deuia, segun todos. s. por mal juzgar, mal acusar, mal denunciar, o mal testificar, pero no es obligado de precepto a restituyr lo tomado: aunq̃ aunque si, el da ño que hizo, por lo arriba dicho g Supra eo. c. nume. 33.."
azp1556_ch17_184,"¶ Si † compro alguna cosa por manda do de otro, y dixo auer costado mas, para se quedar con ella. M. segun S. Antonino, si no tomo aquella demasia para los gastos ne cessarios, ni el vendedor se la dono para el, y no para aquel para quien la compro h Ar. c. Requi sisti. de test.."
azp1556_ch17_185,"¶ Si hizo repartimiento de alguna quantidad de dinero impuesta al pueblo (paraque por casas, y segun la haziẽ da hazienda de cada qual se pagasse) &amp; impuso mas, o menos a vnos de lo que era razon en perjuyzio de otros. M. segun S. Antonino, y to dos, aunque no lo haga por odio, ni mala intencion, si la ignoran cia del derecho, o hecho probable no lo escuso, porque violo la ju sticia distributiua, y deue restituyr al agrauiado, en lo que lo agra uio, segũ segun todos. Y lo mesmo es, del que reparte las cosas comunes, y dio mas o menos a alguno delo que le cabia, segun Caietano i 1. Sec. q. 62. ar. 2., porque estos quitan lo deuido, o lo suyo al agrauiado,"
azp1556_ch17_186,"¶ Si siendo prelado, o se ñor, cō con cargo de dar beneficio, o officio publico, lo dio al indigno. M. como alibi k in. c. Graue. de pr æb. lo diximos. Y es obligado a restituciō restitucion, aun que sea Papa, segun Caietano l 2. Sec. q. 62. art. 2. eol. 1.: pero lo contrario nos parece mas justo. como arriba lo diximos m Supra eo. c. n. 72.."
azp1556_ch17_187,*
azp1556_ch17_188,"¶ Esto es, que no es obliga do a restituyr al digno, o mas digno, aquien deuia darlo: pero si, ala yglesia, o ala republica, aquien (por darlo al indigno, da ño n Arg. c. fin. de iniur.."
azp1556_ch17_189,*
azp1556_ch17_190,"¶ Si impidio † a alguno, q̃ que no alcan çasse algun biẽ bien, officio, o benefi cio, por le da ñar, y mal hazer: o sin mala intencion, pero por fuer ça, amenazas, o enga ño: o sin nada desto, pero para que se diesse al indigno. M. o Arg. c.Non est putanda. 1. q. 1. c. Graue. de pr æbend. como lo diximos alibi p In repet. c. Interverba. 11 q. 3. n. 110. &amp; seq.. Mas no es obligado a resti tuir, si aun elimpedido no tenia acquirido derecho, in re, ni ad rem,"
azp1556_ch17_191,"* Y no entreuino fuer ça, mẽtira mentira, ni amenaza"
azp1556_ch17_192,*. por lo arriba dicho q Hoc eod. c. num. 17..
azp1556_ch17_193,"¶ Si dio causa, a q̃ que a alguno fuesse injustamẽte injustamente lleuada algũa alguna pena. o a que no ouiesse lo suyo. M. con obligacion de restituir, segun la mente de todos a Arg. c. fi. de iniur. &amp;. l. Qui occidit. ff. ad l."
azp1556_ch17_194,Aqui. .
azp1556_ch17_195,"¶ Si † tomo para si alguna cosa de las que en la mar se pierden, y no era de cossarios, ni de infieles: hora la tomasse dela nao, hora dela mar, hora de su orilla, M. con obligacion de re stituir b ca. Excōica tioni Excommunicationi. đ de raptor. l. Si quis. ff. de incend. ruin. &amp; naufrag. &amp;. l. Deprecatio. ff. Ad l. Rho.: aun que sea tal, que ouiera perecido, si el no la tomara: co mo son harina, a çucar, y papel: pues por caridad era obligado a a yudar a sus proximos c d. c. Excōica tioni Excommunicationi.: y sino restituyere ( ipso facto) es descomul gado, quanto a Dios, segun Panormitano d d. c. Excom municationi.. Lo qual procede, sino se puso a peligro de muerte (aun que no fuesse probable) por sal uarla. Ca entōces entonces podia la tomar para si, porq̃ porque no era obligado a ayudar cō con tal peligro. Puesto que aun entōces entonces, si el se ñor cō con razon esperaua de cobrar lo suyo por otra via. s. q̃ que la mar lo echaria fuera, o se hallarā hallaran otros, q̃ que por salario se offrecierā offrecieran al tal peligro, obligado es a restituir, dandosele el premio de su trabajo, a juyzio de buẽ buen va ron, segun. S. Anto. e 2. part. ti. 1. c. 15. §. 2. Angelo f Verb. Nau fragium. §. 3.. &amp; Syluest, g Eo verb. q. 2"
azp1556_ch17_196,"† Aun que el simple, q̃ que creyesse serle licito tomar aquello por ordenan ça dela tierra, o al guna otra razon, no pecaria mortalmente, ni seria descomulgado ( ipso iure) aun q̃ que seria obligado a respōder responder, si el juez descomulgasse por ello. Todos tābien tambien son conformes, en que si lo tomado fue del todo desechado, no se ha de restituir, por lo q̃ que adelāte adelante se dira, delas cosas halladas h Infra. eo. c. nu. 170.. No se dize empero ansi desechado, lo q̃ que se echa en la tormenta, por aliuiar la naue, segun todos i Glos. Pan. &amp; Cōis Comunis. in ca. Cũ Cum dilecti. đ de accus.. Aun que si, lo que el se ñor desecha, por parecerle, que aun que se podia saluar sin peli gro probable de vida, pero nadie se pondria a ello k l. Si ꝗs quis mer ces. ff. pro đ de re.. Lo mesmo de zimos de los que toman a los que se les queman las casas, y haziẽ das: haziendas y aun estos mas grauemẽte grauemente pecan, q̃ que los q̃ que simplemẽte simplemente hurtā hurtan l Gabr. in 4. d. 15. q. 3. R.."
azp1556_ch17_197,"¶ Si por su volũtad voluntad † puso fuego a alguna casa, o lugar, o semẽteras sementeras. M. con obligacion de restituir m c. Pessimā Pessimam. 23. q. vlti. &amp;. c Si ꝗs quis domum. de iniur.. Y si el lugar era iglesia, cemẽterio cementerio, o hospital. &amp;c. ( ipso facto) es descomulgado: y aun q̃ que antes de ser de nunciado por tal puede ser absuelto por el Obispo, pero no des pues n Pan. &amp; cōis comunis in ca. Cō q̃sti Conquisti. &amp; c. Tua de sent. excom.. Mas si el lugar no era sagrado, no es ( ipso facto) descomulga do, aun q̃ que se deue de descomulgar. Y quādo quando los tales son dichos de nunciados, o no, dira se adelante o In c. 27.. Quando el author del incendio, o de otro delito notorio, es ocultissimo, no es sujeto al juyzio hu mano para effecto de se manifestar: mas si, para el de ser descomul gado p c. Quidā Quidam. 5. q. 1. &amp; Caie. in opus. lib. 17. resp ō respon. 14. resp, ."
